payment_type,profit_per_order,sales_per_customer,category_id,category_name,customer_city,customer_country,customer_id,customer_segment,customer_state,customer_zipcode,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_date,order_id,order_item_cardprod_id,order_item_discount,order_item_discount_rate,order_item_id,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total_amount,order_profit_per_order,order_region,order_state,order_status,product_card_id,product_category_id,product_name,product_price,shipping_date,shipping_mode,label,late_risk,on_time,day_for_shipping,order_date_count,shipping_date_count
DEBIT,34.448338,92.49099,9.0,Cardio Equipment,Caguas,Puerto Rico,12097.683,Consumer,PR,725.0,3.0,Footwear,18.359064,-66.370575,Europe,Viena,Austria,12073.336,2015-08-11,15081.289,191.0,12.623338,0.13,38030.996,99.99,0.41,1.0,99.99,84.99157,32.083145,Western Europe,Vienna,COMPLETE,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.99,2015-08-12,Standard Class,-1,0,1,1,25,24
TRANSFER,91.19354,181.99008,48.0,Water Sports,Albuquerque,EE. UU.,5108.1045,Consumer,CA,92745.16,7.0,Fan Shop,37.636528,-121.11963,LATAM,Buenos Aires,Argentina,5111.048,2017-02-10,56444.684,1073.0,16.5,0.07,142621.78,199.99,0.48,1.0,199.99,181.99,91.23587,South America,Buenos Aires,PENDING,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2017-04-08,Standard Class,-1,0,1,57,6,24
DEBIT,8.313806,89.96643,46.0,Indoor/Outdoor Games,Amarillo,Puerto Rico,4293.4478,Consumer,PR,2457.7297,7.0,Fan Shop,18.2941,-66.037056,Europe,Burnie,France,4134.765,2015-01-01,7508.5713,1014.0,6.6,0.06,18723.178,49.98,0.09,2.0,99.96,93.81015,6.9655495,Western Europe,Nord-Pas-de-Calais-Picardy,COMPLETE,1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98,2015-03-18,Second Class,1,1,0,76,41,21
DEBIT,44.72259,170.97824,48.0,Water Sports,Peabody,EE. UU.,1546.398,Consumer,CA,95118.6,7.0,Fan Shop,38.7195,-122.31972,LATAM,Blumenau,Mexico,1758.9119,2015-03-28,5565.5796,1073.0,29.99,0.15,14204.896,199.99,0.27,1.0,199.99,171.07587,44.569,Central America,Illinois,COMPLETE,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2015-03-29,Standard Class,1,1,0,1,18,35
CASH,76.1004,137.4536,17.0,Electronics,Caguas,Puerto Rico,5048.3975,Consumer,PR,725.0,3.0,Footwear,18.26879,-66.3705,USCA,Philadelphia,United States,4891.248,2016-06-05,32955.824,365.0,0.0,0.0,79153.03,39.99,0.49,4.0,129.99,145.46329,81.08791,East of USA,Pennsylvania,CLOSED,209.90128,9.0,Under Armour Women's Ignite PIP VI Slide,39.99,2016-10-13,Standard Class,1,1,0,130,16,12
DEBIT,-54.34529,167.98117,46.0,Indoor/Outdoor Games,Caguas,Puerto Rico,7413.2383,Corporate,PR,725.0,7.0,Fan Shop,18.244066,-66.37058,USCA,Los Angeles,United States,7524.8945,2016-05-16,35385.855,1014.0,35.99,0.2,89402.43,49.98,-0.56984335,4.0,199.92,167.99,-72.914665,West of USA ,California,COMPLETE,1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98,2016-07-02,Standard Class,1,1,0,47,9,16
DEBIT,29.792816,113.09,18.0,Men's Footwear,Hanford,EE. UU.,4784.4346,Consumer,KY,28629.11,4.0,Apparel,38.620014,-84.38348,Pacific Asia,Bangkok,Thailand,4701.6694,2016-06-05,27692.854,403.0,18.0,0.13,67108.8,129.99,0.27,1.0,129.99,113.15623,27.000895,Southeast Asia,Bangkok,ON_HOLD,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2016-12-23,Standard Class,1,1,0,201,16,8
PAYMENT,147.01009,326.84012,45.0,Fishing,Newark,EE. UU.,1701.7117,Consumer,NJ,725.0,7.0,Fan Shop,40.60251,-74.02429,LATAM,Cucuta,Brazil,2059.9795,2017-04-16,58629.56,1004.0,100.0,0.25,149639.75,399.98,0.48,1.0,399.98,299.98,144.01884,South America,Santa Catarina,PENDING_PAYMENT,1004.0,45.0,Field & Stream Sportsman 16 Gun Fire Safe,399.98,2017-05-05,Second Class,1,1,0,19,29,47
CASH,50.661564,193.99,48.0,Water Sports,Caguas,Puerto Rico,8478.369,Corporate,PR,725.0,7.0,Fan Shop,18.264338,-66.370575,Africa,Livry-Gargan,Nigeria,8595.548,2016-09-29,45317.816,1073.0,10.0,0.05,117418.26,199.99,0.28,1.0,199.99,189.0,48.689564,West Africa,Maniema,CLOSED,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2016-12-14,Standard Class,1,1,0,76,16,3
DEBIT,34.895645,126.72665,24.0,Women's Apparel,Tucson,EE. UU.,11585.218,Consumer,AZ,85222.0,5.0,Golf,30.39185,-111.95882,USCA,New York City,United States,11423.373,2016-08-25,39779.484,502.0,20.0,0.13,96327.4,50.0,0.26,3.0,150.0,123.49,35.82906,East of USA,New York,COMPLETE,502.0,24.0,Nike Men's Dri-FIT Victory Golf Polo,50.0,2016-10-03,Standard Class,0,0,0,39,19,20
DEBIT,75.887344,159.99,29.0,Shop By Sport,Caguas,Puerto Rico,9115.75,Consumer,PR,725.0,5.0,Golf,18.207714,-66.37053,Europe,Madrid,Finland,9184.391,2015-07-27,15190.251,627.0,14.0,0.09,38719.363,39.99,0.49,4.0,179.97,159.95674,75.679405,Southern Europe,Calabarzon,COMPLETE,627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99,2015-07-28,Second Class,0,0,0,1,15,18
DEBIT,43.940407,109.19,40.0,Accessories,Caguas,Puerto Rico,9262.778,Consumer,PR,725.0,6.0,Outdoors,18.201406,-66.370544,Europe,Blackpool,Italy,9403.116,2015-06-16,11520.246,957.0,22.1,0.16,29088.465,24.99,0.35,5.0,129.99,107.89,45.734226,Southern Europe,Gharbia,COMPLETE,834.1203,43.0,Team Golf St. Louis Cardinals Putter Grip,24.99,2015-07-08,Standard Class,-1,0,1,22,22,24
TRANSFER,47.352356,98.38,29.0,Shop By Sport,Valrico,EE. UU.,3991.4944,Corporate,NY,23233.688,5.0,Golf,43.18877,-80.194176,Europe,Bottrop,France,3742.877,2017-06-20,64332.7,627.0,2.608793,0.03548205,160353.12,39.99,0.48,3.0,99.99,98.38,47.37312,Western Europe,Auvergne-Rhone-Alpes,PENDING,627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99,2017-08-06,First Class,1,1,0,47,12,23
DEBIT,47.081295,129.99,18.0,Men's Footwear,Mililani,EE. UU.,6733.472,Consumer,CA,92791.484,4.0,Apparel,33.89705,-118.17373,Europe,Pontevedra,United Kingdom,6356.5967,2017-08-06,64441.05,403.0,1.3,0.01,162442.77,129.99,0.35,1.0,129.99,129.1051,52.03805,Northern Europe,England,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2017-09-16,Standard Class,-1,0,1,41,26,13
TRANSFER,105.44884,248.98,17.0,Cleats,Caguas,Puerto Rico,705.14264,Home Office,PR,725.0,4.0,Apparel,18.291727,-66.37059,Pacific Asia,Logan,Kazakhstan,573.1643,2016-09-11,44482.82,365.0,45.0,0.15,110938.65,59.99,0.43,5.0,299.95,254.96844,107.96885,Southern Europe,Suhaj,PENDING,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99,2016-11-06,Standard Class,-1,0,1,56,13,16
TRANSFER,-27.191124,272.98,43.0,Camping & Hiking,Caguas,Puerto Rico,9810.397,Corporate,PR,725.0,7.0,Fan Shop,18.260483,-66.37055,Pacific Asia,Rangoon,Myanmar (Burma),9701.083,2015-01-30,19770.549,957.0,20.494436,0.06,47492.938,299.98,-0.13,1.0,299.98,284.9685,-17.345127,Southeast Asia,Yangon,PENDING,957.0,45.0,Diamondback Women's Serene Classic Comfort Bi,299.98,2015-08-03,Standard Class,1,1,0,185,10,24
DEBIT,29.647333,62.936577,29.0,Shop By Sport,Caguas,Puerto Rico,8992.01,Consumer,PR,725.0,5.0,Golf,18.210218,-66.37055,Europe,Giurgiu,Spain,9249.958,2017-09-08,65965.02,627.0,12.6346035,0.19109133,165381.84,39.99,0.45,2.0,79.98,64.493286,28.622063,Southern Europe,Madhya Pradesh,COMPLETE,627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99,2017-12-06,Standard Class,0,0,0,89,17,13
