Order ID,Order Item ID,Order YearMonth,Order Time,Order Quantity,Product Department,Product Category,Product Name,Customer ID,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Mode,Shipment Days - Scheduled,Gross Sales,Discount %,Profit,day_for_shipping,shipping_date_count,order_date_count,late_risk,on_time,cross_border_shipping,distance_level,order_shipping_hotspots,abnormal_profit,Shipment Mode Numeric,order_date,shipment_date
3535,8793,201502,14:07,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7840,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,0.25,200,6,17,55,1,0,1,3,830,0,0,2015-02-21,2015-02-27
4133,10320,201503,7:37,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1203,LATAM,South America,Brazil,Puerto Rico,Standard Class,4,400,0.09,200,4,32,53,0,1,1,3,892,0,0,2015-03-02,2015-03-06
7396,18517,201504,22:47,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10866,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,0.06,200,2,24,60,0,0,1,3,892,0,0,2015-04-18,2015-04-20
11026,27608,201506,22:32,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3576,Europe,Northern Europe,Denmark,Puerto Rico,Standard Class,4,400,0.15,200,2,19,26,0,0,1,3,833,0,0,2015-06-10,2015-06-12
11026,27609,201506,22:32,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3576,Europe,Northern Europe,Denmark,Puerto Rico,Standard Class,4,400,0.13,200,2,19,26,0,0,1,3,833,0,0,2015-06-10,2015-06-12
11026,27607,201506,22:32,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3576,Europe,Northern Europe,Denmark,Puerto Rico,Standard Class,4,400,0.16,200,2,19,26,0,0,1,3,833,0,0,2015-06-10,2015-06-12
19273,48192,201510,7:50,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2447,Europe,Western Europe,Netherlands,Puerto Rico,Standard Class,4,400,0.06,200,4,37,67,0,1,1,3,833,0,0,2015-10-09,2015-10-13
19566,48912,201510,14:29,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,12088,Europe,Western Europe,Germany,Puerto Rico,Standard Class,4,400,0.12,200,2,43,63,0,0,1,3,833,0,0,2015-10-13,2015-10-15
21215,53077,201511,16:12,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10471,Pacific Asia,Eastern Asia,China,Puerto Rico,Standard Class,4,400,0.04,200,6,34,41,1,0,1,3,799,0,0,2015-11-06,2015-11-12
21846,54626,201511,21:16,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1588,Pacific Asia,Southeast Asia,Indonesia,Puerto Rico,Standard Class,4,400,0.02,200,2,48,47,0,0,1,3,799,0,0,2015-11-15,2015-11-17
21916,54821,201511,21:48,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9607,Pacific Asia,South Asia,Pakistan,Puerto Rico,Standard Class,4,400,0.04,200,2,38,55,0,0,1,3,799,0,0,2015-11-16,2015-11-18
23578,58984,201512,4:04,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1577,Pacific Asia,Eastern Asia,China,Puerto Rico,Standard Class,4,400,0.05,200,4,24,63,0,1,1,3,807,0,0,2015-12-11,2015-12-15
25301,63394,201601,7:43,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2848,Pacific Asia,South Asia,India,Puerto Rico,Standard Class,4,400,0.05,200,2,42,57,0,0,1,3,896,0,0,2016-01-05,2016-01-07
27376,68564,201602,14:40,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8986,Pacific Asia,Eastern Asia,China,Puerto Rico,Standard Class,4,400,0.01,200,2,43,58,0,0,1,3,752,0,0,2016-02-04,2016-02-06
27558,68986,201602,6:26,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10308,Pacific Asia,South Asia,India,Puerto Rico,Standard Class,4,400,0.12,200,4,41,68,0,1,1,3,752,0,0,2016-02-07,2016-02-11
29685,74266,201603,7:37,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10380,Pacific Asia,Eastern Asia,China,Puerto Rico,Standard Class,4,400,0.07,200,6,43,42,1,0,1,3,795,0,0,2016-03-09,2016-03-15
33816,84407,201605,14:54,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Standard Class,4,400,0.06,200,2,58,50,0,0,1,3,884,0,0,2016-05-08,2016-05-10
33816,84409,201605,14:54,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Standard Class,4,400,0.05,200,2,58,50,0,0,1,3,884,0,0,2016-05-08,2016-05-10
35603,88900,201606,16:57,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3918,North America,West of USA,USA,Puerto Rico,Standard Class,4,400,0.18,200,4,25,61,0,1,1,3,791,0,0,2016-06-03,2016-06-07
37395,93346,201606,20:47,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,916,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.01,200,6,52,55,1,0,1,3,791,0,0,2016-06-29,2016-07-05
37395,93345,201606,20:47,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,916,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.02,200,6,52,55,1,0,1,3,791,0,0,2016-06-29,2016-07-05
37553,93731,201607,4:08,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7840,North America,South of  USA,USA,Puerto Rico,Standard Class,4,400,0.15,200,4,39,54,0,1,1,3,903,0,0,2016-07-02,2016-07-06
39986,99770,201608,16:31,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,752,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.13,200,2,45,60,0,0,1,3,937,0,0,2016-08-06,2016-08-08
39986,99769,201608,16:31,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,752,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.15,200,2,45,60,0,0,1,3,937,0,0,2016-08-06,2016-08-08
41215,102872,201608,15:06,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6025,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.1,200,6,35,46,1,0,1,3,937,0,0,2016-08-24,2016-08-30
43246,108032,201609,6:38,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2496,Europe,Eastern Europe,Hungary,Puerto Rico,Standard Class,4,400,0.02,200,2,40,66,0,0,1,3,804,0,0,2016-09-23,2016-09-25
43598,108882,201609,9:58,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3740,Africa,North Africa,Sudan,Puerto Rico,Standard Class,4,400,0.15,200,4,37,57,0,1,1,3,804,0,0,2016-09-28,2016-10-02
43598,108883,201609,9:58,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3740,Africa,North Africa,Sudan,Puerto Rico,Standard Class,4,400,0.13,200,4,37,57,0,1,1,3,804,0,0,2016-09-28,2016-10-02
49275,123192,201612,6:52,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7860,Africa,Central Africa,Democratic Republic of Congo,Puerto Rico,Standard Class,4,400,0.07,200,6,50,51,1,0,1,3,799,0,0,2016-12-20,2016-12-26
49291,123227,201612,12:28,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7360,Europe,Eastern Europe,Poland,Puerto Rico,Standard Class,4,400,0.03,200,2,31,51,0,0,1,3,799,0,0,2016-12-20,2016-12-22
49558,123846,201612,10:01,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8378,Africa,West Africa,Togo,Puerto Rico,Standard Class,4,400,0.04,200,4,30,62,0,1,1,3,799,0,0,2016-12-24,2016-12-28
53626,134051,201702,19:13,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10401,LATAM,Central America,Guatemala,Puerto Rico,Standard Class,4,400,0.07,200,2,40,73,0,0,1,3,814,0,0,2017-02-21,2017-02-23
55853,139664,201703,7:26,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4633,LATAM,Central America,Panama,Puerto Rico,Standard Class,4,400,0.18,200,4,38,49,0,1,1,3,817,0,0,2017-03-26,2017-03-30
59071,147842,201705,6:51,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,667,LATAM,South America,Chile,Puerto Rico,Standard Class,4,400,0.17,200,2,24,49,0,0,1,3,801,0,0,2017-05-12,2017-05-14
59336,148547,201705,3:41,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7862,LATAM,South America,Brazil,Puerto Rico,Standard Class,4,400,0.07,200,2,53,55,0,0,1,3,801,0,0,2017-05-16,2017-05-18
59346,148572,201705,7:11,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5165,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,0.03,200,2,53,55,0,0,1,3,801,0,0,2017-05-16,2017-05-18
63558,158874,201707,18:50,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6790,Europe,Western Europe,France,Puerto Rico,Standard Class,4,400,0.06,200,4,40,47,0,1,1,3,787,0,0,2017-07-16,2017-07-20
63558,158873,201707,18:50,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6790,Europe,Western Europe,France,Puerto Rico,Standard Class,4,400,0.07,200,4,40,47,0,1,1,3,787,0,0,2017-07-16,2017-07-20
63575,158913,201707,0:48,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10046,Europe,Northern Europe,Sweden,Puerto Rico,Standard Class,4,400,0.03,200,6,49,65,1,0,1,3,787,0,0,2017-07-17,2017-07-23
63601,158976,201707,9:54,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,75,Europe,Western Europe,Netherlands,Puerto Rico,Standard Class,4,400,0.17,200,2,47,65,0,0,1,3,787,0,0,2017-07-17,2017-07-19
63921,159791,201707,2:01,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5841,Europe,Western Europe,France,Puerto Rico,Standard Class,4,400,0.1,200,2,60,65,0,0,1,3,787,0,0,2017-07-22,2017-07-24
67823,169569,201709,1:04,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1399,Europe,Western Europe,Germany,Puerto Rico,Standard Class,4,400,0.03,200,4,46,64,0,1,1,3,822,0,0,2017-09-17,2017-09-21
67833,169600,201709,4:34,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7904,Europe,Western Europe,France,Puerto Rico,Standard Class,4,400,0.0,200,4,46,64,0,1,1,3,822,0,0,2017-09-17,2017-09-21
4305,10781,201504,11:25,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5605,LATAM,Caribbean,Dominicanepublic,Puerto Rico,Same Day,3,400,0.02,200,0,21,21,0,0,1,3,892,0,1,2015-04-13,2015-04-13
4305,10784,201504,13:40,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5605,LATAM,Caribbean,Dominicanepublic,Puerto Rico,Same Day,3,400,0.01,200,6,25,11,1,0,1,3,892,0,1,2015-04-28,2015-05-04
7725,19313,201506,2:02,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7223,LATAM,South America,Venezuela,Puerto Rico,Second Class,2,400,0.1,200,4,67,43,1,0,1,3,833,0,2,2015-06-13,2015-06-17
21968,54943,201510,12:22,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,509,Pacific Asia,Eastern Asia,South Korea,Puerto Rico,Second Class,2,400,0.12,200,2,12,17,0,1,1,3,833,0,2,2015-10-27,2015-10-29
65258,163081,201707,13:15,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1011,Europe,Western Europe,France,Puerto Rico,Same Day,3,400,0.12,200,4,12,10,1,0,1,3,787,0,1,2017-07-02,2017-07-06
558,1395,201708,1:48,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4562,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.04,200,6,23,31,1,0,1,3,781,0,3,2017-08-18,2017-08-24
6536,16341,201503,19:52,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,12024,LATAM,South America,Brazil,Puerto Rico,First Class,1,400,0.12,200,1,32,23,0,1,1,3,892,0,3,2015-03-04,2015-03-05
15811,39522,201508,17:44,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3953,Europe,Western Europe,Germany,Puerto Rico,First Class,1,400,0.02,200,2,21,22,1,0,1,3,821,0,3,2015-08-10,2015-08-12
21888,54740,201510,3:47,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5389,Pacific Asia,South Asia,India,Puerto Rico,First Class,1,400,0.13,200,4,14,13,1,0,1,3,833,0,3,2015-10-28,2015-11-01
33331,83264,201601,11:53,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Second Class,2,400,0.12,200,2,17,9,0,1,1,3,896,0,2,2016-01-23,2016-01-25
33331,83261,201601,17:50,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Second Class,2,400,0.15,200,2,10,9,0,1,1,3,896,0,2,2016-01-27,2016-01-29
33331,83262,201601,0:08,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Second Class,2,400,0.13,200,3,23,72,1,0,1,3,896,0,2,2016-01-30,2016-02-02
41283,103046,201607,21:38,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1011,North America,West of USA,USA,Puerto Rico,First Class,1,400,0.1,200,2,44,45,1,0,1,3,903,0,3,2016-07-08,2016-07-10
41521,103641,201607,11:16,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10802,Africa,East Africa,Madagascar,Puerto Rico,Second Class,2,400,0.18,200,2,39,16,0,1,1,3,903,0,2,2016-07-29,2016-07-31
47001,117452,201610,17:49,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2083,Pacific Asia,South Asia,Iran,Puerto Rico,First Class,1,400,0.25,200,3,15,6,1,0,1,3,910,0,3,2016-10-17,2016-10-20
47001,117454,201611,9:23,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2083,Pacific Asia,South Asia,Iran,Puerto Rico,First Class,1,400,0.2,200,4,12,12,1,0,1,3,868,0,3,2016-11-06,2016-11-10
51806,129433,201612,9:40,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2929,LATAM,Caribbean,Cuba,Puerto Rico,Second Class,2,400,0.18,200,2,50,62,0,1,1,3,799,0,2,2016-12-24,2016-12-26
53548,133823,201701,14:00,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,896,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.06,200,2,57,60,1,0,1,3,743,0,3,2017-01-28,2017-01-30
59506,148940,201706,1:12,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10401,LATAM,Central America,Nicaragua,Puerto Rico,Second Class,2,400,0.01,200,6,40,9,1,0,1,3,772,0,2,2017-06-11,2017-06-17
61886,154689,201707,14:58,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,94,Europe,Northern Europe,United Kingdom,Puerto Rico,Second Class,2,400,0.16,200,2,12,12,0,1,1,3,787,0,2,2017-07-30,2017-08-01
4135,10328,201501,5:02,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10041,LATAM,Central America,Nicaragua,Puerto Rico,Second Class,2,400,0.07,200,3,25,32,1,0,1,3,977,0,2,2015-01-30,2015-02-02
4991,12496,201502,0:28,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3211,LATAM,South America,Brazil,Puerto Rico,First Class,1,400,0.16,200,3,37,48,1,0,1,3,830,0,3,2015-02-07,2015-02-10
6393,16006,201502,2:23,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8861,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.09,200,4,34,54,1,0,1,3,830,0,3,2015-02-10,2015-02-14
6393,16004,201502,23:35,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8861,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.1,200,5,24,43,1,0,1,3,830,0,3,2015-02-13,2015-02-18
19948,49860,201504,9:50,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2914,Europe,Western Europe,Germany,Puerto Rico,Same Day,3,400,0.07,200,4,22,48,1,0,1,3,892,0,1,2015-04-12,2015-04-16
23221,58145,201504,14:44,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3765,Pacific Asia,South Asia,Afghanistan,Puerto Rico,Second Class,2,400,0.03,200,1,17,10,0,0,1,3,892,0,2,2015-04-22,2015-04-23
23295,58324,201504,4:44,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9992,Pacific Asia,Southeast Asia,Singapore,Puerto Rico,Same Day,3,400,0.0,200,5,28,7,1,0,1,3,892,0,1,2015-04-25,2015-04-30
